1, Bachelors, Never-married
2, Bachelors, Married-civ-spouse
3, HS-grad, Divorced
4, 11th, Married-civ-spouse
5, Bachelors, Married-civ-spouse
6, Masters, Married-civ-spouse
7, 9th, Married-spouse-absent
8, HS-grad, Married-civ-spouse
9, Masters, Never-married
10, Bachelors, Married-civ-spouse
11, Some-college, Married-civ-spouse
12, Bachelors, Married-civ-spouse
13, Bachelors, Never-married
14, Assoc-acdm, Never-married
15, Assoc-voc, Married-civ-spouse
16, 7th-8th, Married-civ-spouse
17, HS-grad, Never-married
18, HS-grad, Never-married
19, 11th, Married-civ-spouse
20, Masters, Divorced
21, Doctorate, Married-civ-spouse
22, HS-grad, Separated
23, 9th, Married-civ-spouse
24, 11th, Married-civ-spouse
25, HS-grad, Divorced
26, Bachelors, Married-civ-spouse
27, HS-grad, Never-married
28, Some-college, Married-civ-spouse
29, HS-grad, Divorced
30, HS-grad, Married-civ-spouse
31, Assoc-acdm, Never-married
32, Some-college, Never-married
33, Bachelors, Divorced
34, Some-college, Married-civ-spouse
35, Some-college, Married-civ-spouse
36, 11th, Never-married
37, Some-college, Never-married
38, HS-grad, Married-AF-spouse
39, Some-college, Married-civ-spouse
40, Assoc-acdm, Married-civ-spouse
41, 9th, Married-civ-spouse
42, Bachelors, Married-civ-spouse
43, Bachelors, Married-civ-spouse
44, HS-grad, Separated
45, HS-grad, Never-married
46, Bachelors, Married-civ-spouse
47, HS-grad, Married-civ-spouse
48, Masters, Divorced
49, Assoc-voc, Married-civ-spouse
50, Assoc-voc, Never-married
51, Some-college, Married-civ-spouse
52, HS-grad, Never-married
53, Prof-school, Married-civ-spouse
54, Bachelors, Divorced
55, HS-grad, Divorced
56, Some-college, Married-civ-spouse
57, 5th-6th, Married-civ-spouse
58, Assoc-voc, Married-civ-spouse
59, HS-grad, Married-civ-spouse
60, HS-grad, Married-civ-spouse
61, Bachelors, Married-civ-spouse
62, 7th-8th, Married-spouse-absent
63, HS-grad, Married-civ-spouse
64, Doctorate, Married-civ-spouse
65, Some-college, Divorced
66, HS-grad, Married-civ-spouse
67, Some-college, Divorced
68, HS-grad, Married-civ-spouse
69, Some-college, Married-civ-spouse
70, Some-college, Never-married
71, Some-college, Never-married
72, Bachelors, Separated
73, Bachelors, Married-civ-spouse
74, Some-college, Never-married
75, Some-college, Married-civ-spouse
76, HS-grad, Never-married
77, Assoc-acdm, Married-civ-spouse
78, 10th, Married-civ-spouse
79, 11th, Never-married
80, 7th-8th, Married-civ-spouse
81, HS-grad, Never-married
82, Bachelors, Married-civ-spouse
83, HS-grad, Married-civ-spouse
84, HS-grad, Married-civ-spouse
85, HS-grad, Divorced
86, HS-grad, Divorced
87, HS-grad, Married-civ-spouse
88, Masters, Married-civ-spouse
89, 9th, Never-married
90, Doctorate, Never-married
91, Assoc-voc, Married-civ-spouse
92, Some-college, Divorced
93, Some-college, Divorced
94, HS-grad, Married-civ-spouse
95, Bachelors, Married-civ-spouse
96, Some-college, Never-married
97, Doctorate, Married-civ-spouse
98, Some-college, Married-civ-spouse
99, Assoc-acdm, Divorced
100, HS-grad, Never-married
101, Masters, Married-civ-spouse
102, Bachelors, Married-civ-spouse
103, Masters, Never-married
104, Some-college, Never-married
105, HS-grad, Never-married
106, HS-grad, Married-civ-spouse
